NR,RA,DEC,X,Y,V,Age
1000211,84.708923,-69.093201,1976.32,1139.54,20.46,6.2
1000212,84.708855,-69.101273,1978.85,394.44,23.49,8.3
1000213,84.708839,-69.086021,1978.96,1802.26,21.93,31.2
1000214,84.708702,-69.089897,1983.66,1444.34,24.02,42.3
1000215,84.708397,-69.090042,1993.73,1431.17,23.86,23.3
1000216,84.708183,-69.075569,2000.34,2766.52,24.22,21.6
1000217,84.708153,-69.096344,2001.84,849.63,23.47,20.8
1000218,84.708000,-69.083008,2006.69,2080.23,24.44,13.0
1000219,84.707886,-69.066925,2009.80,3564.79,19.06,2.6
1000220,84.707520,-69.086060,2022.41,1798.55,23.12,13.0
1000221,84.707474,-69.074333,2023.70,2881.23,23.02,14.5
1000222,84.707413,-69.094612,2026.20,1009.43,22.77,18.8
1000223,84.707184,-69.093079,2033.83,1150.72,22.74,18.8
1000224,84.707153,-69.061943,2034.03,4024.27,20.58,6.2
1000225,84.706978,-69.090073,2040.38,1428.18,19.97,5.0
1000226,84.706886,-69.100197,2043.74,493.49,23.71,23.8
1000227,84.706848,-69.082458,2044.45,2130.91,23.33,11.5
1000228,84.706810,-69.090004,2046.06,1434.26,22.38,32.4
1000229,84.706787,-69.088097,2046.61,1610.79,22.44,11.7
1000230,84.706627,-69.090469,2051.96,1391.85,19.82,4.0
1000231,84.706314,-69.074272,2062.04,2886.33,22.53,5.1
1000232,84.706108,-69.095078,2069.30,965.99,19.78,4.9
1000233,84.705841,-69.085594,2077.85,1841.35,22.90,11.3
1000234,84.705711,-69.088165,2082.18,1604.52,23.27,26.8
1000235,84.705528,-69.074356,2087.80,2878.54,22.72,1.5
1000236,84.705467,-69.099777,2090.37,532.27,23.86,17.7
1000237,84.705154,-69.072281,2100.14,3070.56,23.35,0.8
1000238,84.704933,-69.086784,2107.74,1731.91,23.41,16.2
1000239,84.704796,-69.076950,2112.16,2639.37,23.60,4.4
1000240,84.704796,-69.098961,2112.38,607.82,23.24,39.0
1000241,84.704765,-69.084435,2113.10,1948.66,22.92,3.9
1000242,84.704597,-69.092667,2118.88,1188.95,23.17,19.7
1000243,84.704582,-69.088989,2119.38,1527.93,20.86,8.3
1000244,84.704231,-69.081810,2130.87,2190.89,23.82,0.7
1000245,84.704178,-69.079041,2132.34,2446.20,19.98,5.2
1000246,84.704109,-69.077301,2134.56,2607.02,24.06,1.4
1000247,84.704102,-69.083153,2134.95,2066.79,22.79,8.6
1000248,84.704094,-69.082405,2135.40,2135.85,25.01,22.3
1000249,84.704041,-69.094376,2137.36,1030.98,19.65,4.0
1000250,84.703743,-69.074020,2146.69,2910.02,21.91,0.7
1000251,84.703743,-69.092056,2147.08,1244.75,20.32,6.1
1000252,84.703621,-69.092216,2151.01,1230.44,19.13,0.9
1000253,84.703438,-69.066727,2156.63,3583.24,19.64,0.2
1000254,84.703300,-69.094528,2161.55,1017.05,22.88,11.1
1000255,84.703163,-69.099579,2166.25,551.05,24.80,51.4
1000256,84.702827,-69.094063,2177.20,1060.05,20.49,6.3
1000257,84.702354,-69.085190,2192.75,1879.06,23.36,38.5
1000258,84.702332,-69.056877,2192.96,4492.19,19.71,0.1
1000259,84.702003,-69.087791,2204.29,1639.08,18.87,2.6
1000260,84.701752,-69.063789,2212.25,3854.50,24.82,51.0
1000261,84.701569,-69.077629,2218.51,2576.54,23.76,0.8
